Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Voltage,LCSC Part #,Description,Height,Manufacturer_Name,Mouser Part Number,Mouser Price/Stock
"C1, C17, C22, C26, C7",5,0.1 uF 50V,C_0402_1005Metric,,,,smt,,,,,,,
"C10, C11, C12, C14, C15, C21, C27, C28, C29, C30, C31, C32",12,10 uF 50V,C_0805_2012Metric,,,,smt,50V,,,,,,
C16,1,220 uF 35V,C_Rect_L7.0mm_W3.5mm_P5.00mm,,,Yes,tht,,,,,,,
"C18, C5, C8, C9",4,1 uF 35V,C_0603_1608Metric,,,,smt,,,,,,,
C19,1,47 nF 35V,C_0402_1005Metric,,,,smt,,,,,,,
"C2, C23, C24, C25",4,56 pF 50V,C_0402_1005Metric,,,,smt,,0402CG470J500NT,,,,,
"C20, C6",2,22 uF 16V,C_0805_2012Metric,,,,smt,,,,,,,
C3,1,3.3 uF 50V,C_0805_2012Metric,,,,smt,,,,,,,
C4,1,47 uF 16V,C_1210_3225Metric,,,,smt,,,,,,,
D1,1,1N5819HW,D_SOD-123,,,,smt,,,,,,,
D2,1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,,,smt,,,,,,,
"FID1, FID2, FID3, FID4, FID5, FID6",6,Fiducial,Fiducial_0.75mm_Mask1.5mm,,,,smt,,,Fiducial Marker,,,,
IC1,1,DRV8316CRRGFR,QFN50P500X700X100-41N-D,,DRV8316RRGFR,,smt,,DRV8316CRRGFR,,1,Texas Instruments,595-DRV8316RRGFR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8316RRGFR?qs=t7xnP681wgVBNVXU7XwWiw%3D%3D
IC2,1,ESP32-S3-MINI-1-N8,ESP32S3MINI1N8,,ESP32-S3-MINI-1-N8,,smt,,ESP32-S3-MINI-1-N8,,2.55,Espressif Systems,356-ESP32-S3-MINI1N8,https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-S3-MINI-1-N8?qs=XAiT9M5g4x82rl6F%2FIYUQg%3D%3D
J1,1,USB4105,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,,,smt,,,,,,,
J2,1,"PT-1,5-3-3.5-H","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",,,,tht,,,,,,,
J3,1,"PT-1,5-2-3.5-H","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",,,,tht,,,,,,,
J4,1,JST_EH_B4B-EH-A,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,,,,tht,,,,,,,
J5,1,JST_EH_B6B-EH-A,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,,,,tht,,,,,,,
L1,1,10 uH,VLS3015,,VLS3015CX-100M-H,,smt,,,,,TDK,810-VLS3015CX-100M-H,https://www.mouser.co.uk/ProductDetail/TDK/VLS3015CX-100M-H?qs=zW32dvEIR3u1NWN2qd%2Fh9w%3D%3D
PS1,1,TPS54202DDCR,SOT95P280X110-6N,,TPS54202DDCR,,smt,,,,1.1,Texas Instruments,595-TPS54202DDCR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS54202DDCR?qs=uP22XH7NdCsJtN%2Fq54jCtQ%3D%3D
"R1, R3",2,100kR,R_0402_1005Metric,,,,smt,,,,,,,
"R10, R11, R12, R14, R19, R20",6,0R,R_0402_1005Metric,,,,smt,,,,,,,
"R13, R15, R16, R17, R24, R25, R26, R33, R4, R5, R6",11,5.1kR,R_0402_1005Metric,,,,smt,,,,,,,
R18,1,22 R,R_0805_2012Metric,,,,smt,,,,,,,
R2,1,22.1kR,R_0402_1005Metric,,,,smt,,,,,,,
"R21, R22, R23",3,1kR,R_0402_1005Metric,,,,smt,,,,,,,
"R27, R28, R29, R30, R31, R32",6,47kR,R_0402_1005Metric,,,,smt,,,,,,,
R7,1,1kR,R_0402_1005Metric,,,Yes,smt,,,,,,,
R8,1,1kR,R_0402_1005Metric,,,Yes,smt,,,,,,,
R9,1,1kR,R_0402_1005Metric,,,Yes,smt,,,,,,,
SW1,1,Boot,PinHeader_1x02_P2.54mm_Vertical,,,Yes,tht,,,,,,,
SW2,1,RST,PinHeader_1x02_P2.54mm_Vertical,,,Yes,tht,,,,,,,
"U1, U3, U4",3,USBLC6-4SC6,SOT-23-6,,,,smt,,,"Very low capacitance ESD protection diode, 4 data-line, SOT-23-6",,,,
U2,1,MCP9700x-HTT,SOT-23,,,,smt,,,,,,,
