Designator,Mid X,Mid Y,Rotation,Layer
C1,12.7,10.16,180.0,top
C10,17.996,3.302,90.0,top
C11,5.842,3.302,90.0,top
C12,34.544,7.62,90.0,top
C14,32.512,4.064,270.0,top
C15,34.544,4.064,270.0,top
C16,29.464,5.548,90.0,top
C17,12.446,15.242,270.0,bottom
C18,21.59,9.652,0.0,top
C19,19.558,10.8712,0.0,top
C2,16.51,6.096,90.0,top
C20,15.494,10.16,90.0,bottom
C21,24.892,9.652,0.0,top
C22,22.606,11.43,180.0,top
C23,14.476,28.956,180.0,bottom
C24,14.476,27.94,180.0,bottom
C25,14.476,26.924,180.0,bottom
C26,12.7,33.02,0.0,bottom
C27,13.932,3.302,90.0,top
C28,15.964,3.302,90.0,top
C29,32.512,7.62,90.0,top
C3,8.382,7.62,270.0,top
C30,7.874,3.302,90.0,top
C31,9.868,3.302,90.0,top
C32,11.9,3.302,90.0,top
C4,6.858,11.684,0.0,top
C5,13.716,36.322,90.0,bottom
C6,10.414,36.576,90.0,bottom
C7,12.7,34.036,0.0,bottom
C8,22.225,35.306,180.0,bottom
C9,20.8788,20.4724,270.0,top
D1,9.398,12.192,90.0,bottom
D2,4.445,28.448,0.0,top
FID1,1.4224,37.338,0.0,top
FID2,1.4224,1.524,0.0,top
FID3,36.83,1.524,0.0,top
FID4,1.4224,37.338,0.0,bottom
FID5,1.4224,1.524,0.0,bottom
FID6,36.83,1.524,0.0,bottom
IC1,19.812,15.24,90.0,top
IC2,18.654,31.481,0.0,top
J1,3.81,19.812,270.0,top
J2,34.798,15.692,90.0,top
J3,23.396,4.064,0.0,top
J4,35.814,32.512,90.0,top
J5,30.226,29.972,90.0,top
L1,5.334,8.128,90.0,top
PS1,12.72,7.686,0.0,top
R1,15.494,6.096,90.0,top
R10,25.887431,25.4,0.0,bottom
R11,25.881187,26.416,0.0,bottom
R12,25.897433,27.432,0.0,bottom
R13,22.479,36.576,0.0,bottom
R14,25.902565,28.448,0.0,bottom
R15,32.766,27.94,270.0,bottom
R16,33.782,27.94,270.0,bottom
R17,22.86,25.019,90.0,bottom
R18,18.542,10.16,0.0,bottom
R19,25.891357,29.464,0.0,bottom
R2,15.494,8.128,90.0,top
R20,25.908,30.48,0.0,bottom
R21,12.19,28.956,0.0,bottom
R22,12.19,27.94,0.0,bottom
R23,12.19,26.924,0.0,bottom
R24,34.417,24.003,180.0,bottom
R25,34.417,22.86,180.0,bottom
R26,34.417,21.717,180.0,bottom
R27,36.703,24.003,0.0,bottom
R28,36.322,12.7,270.0,bottom
R29,36.703,22.86,0.0,bottom
R3,7.62,11.684,90.0,bottom
R30,36.322,16.256,270.0,bottom
R31,36.703,21.717,0.0,bottom
R32,36.322,19.812,270.0,bottom
R33,11.43,15.242,270.0,bottom
R4,7.62,13.716,270.0,bottom
R5,5.334,22.86,270.0,bottom
R6,5.334,16.764,90.0,bottom
R7,31.75,27.94,90.0,bottom
R8,31.75,25.908,270.0,bottom
R9,32.766,25.908,270.0,bottom
SW1,6.858,33.401,270.0,top
SW2,6.858,37.084,270.0,top
U1,5.842,19.812,0.0,bottom
U2,12.7,18.4912,90.0,bottom
U3,26.162,32.766,180.0,bottom
U4,32.766,32.004,270.0,bottom
